,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,スチーマーライン(フロント),スチーマーライン(ロスト),スチーマーライン(ハーバー),レールウェイ(フロント),スチーマーライン(ポート),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2020-12-22 09:00:00,0,30,0,30,5,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,1,Tuesday
1,2020-12-22 09:15:00,0,45,20,30,5,5,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,5,5,0,1,Tuesday
2,2020-12-22 09:30:00,0,50,20,30,25,10,0,0,0,0,10,0,5,0,5,5,0,5,0,0,0,0,0,5,5,0,1,Tuesday
3,2020-12-22 09:45:00,0,50,30,35,40,25,0,0,0,15,10,0,5,0,5,5,0,5,0,0,0,5,5,5,5,0,1,Tuesday
4,2020-12-22 10:00:00,0,40,45,35,40,30,30,10,0,20,10,5,5,0,5,5,0,5,0,0,0,5,5,5,5,0,1,Tuesday
5,2020-12-22 10:15:00,0,35,40,40,40,35,25,15,0,25,15,10,5,0,5,5,5,5,5,5,0,5,5,5,5,0,1,Tuesday
6,2020-12-22 10:30:00,0,0,0,0,0,25,30,15,0,25,15,5,5,0,5,10,5,5,5,5,0,5,5,5,5,0,1,Tuesday
7,2020-12-22 10:45:00,0,0,0,0,0,0,20,15,5,25,15,5,5,0,5,10,5,5,5,5,0,5,5,5,5,0,1,Tuesday
8,2020-12-22 11:00:00,0,0,0,0,0,0,10,25,10,25,20,5,5,0,5,10,5,5,5,5,0,0,0,5,5,0,1,Tuesday
9,2020-12-22 11:15:00,0,0,0,0,0,5,25,25,15,25,25,10,5,0,5,15,5,10,5,5,0,0,0,5,5,0,1,Tuesday
10,2020-12-22 11:30:00,0,0,15,0,0,25,20,25,15,0,25,10,5,0,5,20,5,10,10,5,0,0,0,5,5,0,1,Tuesday
11,2020-12-22 11:45:00,0,0,15,0,0,30,0,10,15,10,25,10,5,0,5,20,5,10,10,5,5,5,5,5,5,0,1,Tuesday
12,2020-12-22 12:00:00,0,0,0,0,0,0,0,15,10,10,25,10,5,0,5,10,5,10,10,5,5,5,5,5,5,0,1,Tuesday
13,2020-12-22 12:15:00,0,0,0,0,0,0,0,0,5,10,15,5,5,0,5,15,5,15,10,5,5,5,5,5,10,5,1,Tuesday
14,2020-12-22 12:30:00,0,0,0,0,0,0,0,0,5,20,15,5,5,0,5,20,5,15,5,5,5,5,5,10,10,5,1,Tuesday
15,2020-12-22 12:45:00,0,0,0,0,0,0,30,0,5,20,15,5,5,0,5,20,5,15,5,5,5,5,5,5,10,5,1,Tuesday
16,2020-12-22 13:00:00,0,0,0,0,0,0,25,15,5,20,20,5,5,0,5,15,5,15,5,5,5,5,5,5,10,5,1,Tuesday
17,2020-12-22 13:15:00,0,0,0,0,0,0,10,20,10,20,20,5,5,0,5,15,5,20,5,5,5,5,5,5,10,5,1,Tuesday
18,2020-12-22 13:30:00,0,0,0,0,0,0,25,25,10,20,20,5,5,0,5,20,10,20,5,5,5,5,5,10,10,5,1,Tuesday
19,2020-12-22 13:45:00,0,0,0,0,0,0,20,10,5,25,15,5,5,0,5,20,5,15,10,5,0,5,5,5,10,5,1,Tuesday
20,2020-12-22 14:00:00,0,0,0,0,0,0,0,0,5,0,15,5,5,0,5,15,5,20,10,5,0,0,0,5,10,5,1,Tuesday
21,2020-12-22 14:15:00,0,0,0,0,0,0,0,0,5,0,10,5,10,0,5,15,5,20,10,5,0,0,0,10,10,5,1,Tuesday
22,2020-12-22 14:30:00,0,0,0,0,0,0,0,0,5,0,10,5,5,0,5,15,5,20,10,5,0,0,0,10,15,5,1,Tuesday
23,2020-12-22 14:45:00,0,0,0,0,0,0,0,0,5,15,10,5,5,0,5,15,10,20,10,5,5,5,5,10,10,5,1,Tuesday
24,2020-12-22 15:00:00,0,0,0,0,0,0,0,0,5,25,10,5,5,0,5,20,5,25,10,5,10,5,5,15,15,10,1,Tuesday
25,2020-12-22 15:15:00,0,0,15,0,0,0,0,0,5,35,10,5,5,0,5,20,5,20,10,5,10,5,5,15,15,5,1,Tuesday
26,2020-12-22 15:30:00,0,0,20,0,0,0,0,0,5,35,10,5,5,0,5,15,5,15,20,5,10,5,5,10,15,5,1,Tuesday
27,2020-12-22 15:45:00,0,0,15,0,0,0,0,0,10,35,10,5,5,0,5,15,10,15,10,5,20,5,5,10,10,5,1,Tuesday
28,2020-12-22 16:00:00,0,0,0,0,0,0,0,0,5,35,10,5,5,0,5,10,5,15,10,5,15,5,5,5,10,5,1,Tuesday
29,2020-12-22 16:15:00,0,0,0,0,0,0,0,0,5,35,10,5,5,0,5,10,5,15,10,5,5,5,5,5,10,5,1,Tuesday
30,2020-12-22 16:30:00,0,0,0,0,0,0,0,0,5,35,10,5,5,0,5,15,5,15,10,5,5,5,5,5,10,5,1,Tuesday
31,2020-12-22 16:45:00,0,0,0,0,0,0,0,0,5,40,10,5,5,0,5,15,5,15,15,5,5,5,5,5,10,10,1,Tuesday
32,2020-12-22 17:00:00,0,0,0,0,0,0,0,25,5,40,10,5,5,0,5,15,5,15,10,5,5,5,5,15,15,0,1,Tuesday
33,2020-12-22 17:15:00,0,0,0,0,0,0,0,30,5,40,10,5,5,0,5,15,5,15,10,5,5,5,5,10,15,0,1,Tuesday
34,2020-12-22 17:30:00,0,0,0,0,0,0,0,15,5,35,10,5,5,0,5,15,5,15,10,5,5,5,5,10,15,0,1,Tuesday
35,2020-12-22 17:45:00,0,0,0,0,0,0,0,15,5,35,10,5,5,0,5,15,5,15,10,5,5,5,5,10,15,0,1,Tuesday
36,2020-12-22 18:00:00,0,0,0,0,0,0,0,15,5,35,10,5,5,0,5,15,5,15,10,5,5,5,5,10,15,0,1,Tuesday
37,2020-12-22 18:15:00,0,0,0,0,0,0,0,15,5,40,10,5,5,0,5,5,5,15,10,5,5,5,5,5,10,0,1,Tuesday
38,2020-12-22 18:30:00,0,0,0,0,0,0,0,25,5,35,10,5,5,0,5,5,5,15,5,5,5,5,5,10,10,0,1,Tuesday
39,2020-12-22 18:45:00,0,0,0,0,0,0,0,15,5,30,10,5,5,0,5,10,5,15,5,5,5,5,5,10,10,0,1,Tuesday
40,2020-12-22 19:00:00,0,20,5,0,0,0,0,15,5,30,10,5,5,0,5,10,5,15,5,5,0,5,5,10,15,0,1,Tuesday
41,2020-12-22 19:15:00,0,20,20,30,35,20,0,15,5,45,10,5,5,0,5,10,5,15,5,5,0,5,5,10,15,0,1,Tuesday
42,2020-12-22 19:30:00,0,25,20,30,30,15,0,20,5,45,10,5,5,0,5,10,5,5,5,5,0,5,5,5,15,0,1,Tuesday
43,2020-12-22 19:45:00,0,30,20,30,25,15,0,10,5,40,10,5,5,0,5,10,5,5,5,5,0,5,5,5,15,0,1,Tuesday
44,2020-12-22 20:00:00,0,20,15,25,20,15,0,0,5,30,10,5,5,0,5,5,5,5,5,5,0,5,5,5,10,0,1,Tuesday
45,2020-12-22 20:15:00,0,25,15,25,15,20,0,0,5,40,10,5,5,0,5,5,5,5,5,5,0,5,5,5,5,0,1,Tuesday
46,2020-12-22 20:30:00,0,25,15,25,5,20,0,0,5,0,10,5,5,0,5,5,5,5,5,5,0,5,0,5,5,0,1,Tuesday
47,2020-12-22 20:45:00,0,20,15,20,5,15,0,0,5,0,10,5,5,0,5,5,5,5,5,5,0,5,0,5,5,0,1,Tuesday
48,2020-12-23 09:00:00,0,0,10,30,0,0,0,0,5,0,10,0,0,0,5,5,0,5,0,0,0,0,0,5,0,0,2,Wednesday
49,2020-12-23 09:15:00,0,0,10,30,5,5,0,0,5,0,10,0,0,0,5,5,0,5,0,0,0,0,0,5,0,0,2,Wednesday
50,2020-12-23 09:30:00,0,0,35,45,30,15,0,0,5,0,10,0,0,0,5,5,0,5,0,0,0,0,0,5,5,0,2,Wednesday
51,2020-12-23 09:45:00,0,0,30,50,50,30,0,0,5,25,15,0,5,0,5,5,0,5,0,0,0,5,5,5,5,0,2,Wednesday
52,2020-12-23 10:00:00,0,0,35,40,40,40,0,10,10,35,15,5,5,0,5,5,5,5,0,0,0,5,5,5,5,0,2,Wednesday
53,2020-12-23 10:15:00,0,0,35,40,0,30,20,15,5,30,15,10,5,0,5,5,5,5,5,5,0,5,5,5,5,0,2,Wednesday
54,2020-12-23 10:30:00,0,0,0,0,0,35,10,15,5,20,15,10,5,0,5,15,5,5,5,5,0,5,5,5,5,0,2,Wednesday
55,2020-12-23 10:45:00,0,0,0,0,0,40,20,15,10,30,15,10,5,0,5,15,10,5,5,5,0,5,5,5,5,0,2,Wednesday
56,2020-12-23 11:00:00,0,0,0,0,0,45,30,30,15,0,15,10,5,0,5,15,10,5,5,5,0,0,0,5,5,0,2,Wednesday
