,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,スチーマーライン(フロント),スチーマーライン(ロスト),スチーマーライン(ハーバー),レールウェイ(フロント),スチーマーライン(ポート),ビッグシティ・ヴィークル,曜日_数値,休日
0,2021-02-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1,2021-02-01 09:15:00,0,10,5,5,0,0,0,0,0,5,10,0,0,0,5,5,0,5,0,0,0,0,5,0,0,0,0,0
2,2021-02-01 09:30:00,0,25,20,10,0,5,0,0,0,5,10,0,5,0,5,5,0,5,0,0,0,5,5,0,0,0,0,0
3,2021-02-01 09:45:00,0,20,30,20,0,5,0,0,0,10,10,0,5,0,5,5,0,5,0,0,0,5,5,0,0,0,0,0
4,2021-02-01 10:00:00,0,10,35,15,35,5,15,5,0,10,10,0,5,5,5,5,5,5,5,5,0,5,5,0,0,0,0,0
5,2021-02-01 10:15:00,0,10,25,15,30,5,20,5,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,0,0
6,2021-02-01 10:30:00,0,5,20,10,25,5,5,10,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,0,0
7,2021-02-01 10:45:00,0,5,10,10,20,5,25,10,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,0,0
8,2021-02-01 11:00:00,0,5,5,10,30,10,5,10,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,0,0
9,2021-02-01 11:15:00,0,5,5,15,25,10,25,10,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,0,0
10,2021-02-01 11:30:00,0,5,5,10,20,15,10,10,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,0,0
11,2021-02-01 11:45:00,0,5,5,5,10,15,5,5,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
12,2021-02-01 12:00:00,0,5,5,5,10,10,15,5,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
13,2021-02-01 12:15:00,0,5,5,5,5,5,10,5,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
14,2021-02-01 12:30:00,0,5,5,5,5,5,15,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
15,2021-02-01 12:45:00,0,5,5,5,5,5,30,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
16,2021-02-01 13:00:00,0,5,5,5,5,5,20,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
17,2021-02-01 13:15:00,5,5,5,5,5,5,5,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
18,2021-02-01 13:30:00,5,5,5,5,10,5,30,5,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
19,2021-02-01 13:45:00,5,5,10,5,5,5,10,5,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,5,0,0
20,2021-02-01 14:00:00,5,5,15,5,5,5,30,5,0,5,10,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,0
21,2021-02-01 14:15:00,5,5,10,5,5,5,15,5,0,5,10,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,0
22,2021-02-01 14:30:00,5,5,5,5,15,5,10,5,0,0,10,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,0,0
23,2021-02-01 14:45:00,5,5,10,5,5,5,25,5,0,20,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
24,2021-02-01 15:00:00,5,5,5,5,5,5,5,10,0,20,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
25,2021-02-01 15:15:00,5,5,5,5,15,5,20,10,0,10,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
26,2021-02-01 15:30:00,5,5,5,5,15,5,10,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
27,2021-02-01 15:45:00,5,5,5,5,10,5,25,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
28,2021-02-01 16:00:00,5,5,5,5,10,10,15,5,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
29,2021-02-01 16:15:00,5,5,5,5,10,10,30,5,0,15,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
30,2021-02-01 16:30:00,5,5,5,10,15,10,20,5,0,25,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
31,2021-02-01 16:45:00,5,5,5,5,5,10,30,10,0,25,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,0
32,2021-02-01 17:00:00,5,5,5,5,5,10,20,10,0,20,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
33,2021-02-01 17:15:00,5,5,5,5,5,10,5,15,0,10,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
34,2021-02-01 17:30:00,5,5,5,5,5,10,25,10,0,15,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
35,2021-02-01 17:45:00,5,5,5,5,5,10,10,5,0,15,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
36,2021-02-01 18:00:00,5,5,5,10,5,5,25,0,0,10,10,5,5,5,5,5,5,5,5,5,10,5,5,0,0,0,0,0
37,2021-02-01 18:15:00,5,5,10,10,5,5,10,0,0,10,10,5,5,5,5,5,5,5,5,5,10,5,5,0,0,0,0,0
38,2021-02-01 18:30:00,5,10,10,10,5,5,5,0,0,25,10,5,5,5,5,5,5,5,5,5,0,5,0,0,0,0,0,0
39,2021-02-01 18:45:00,0,10,0,5,0,5,0,0,0,25,0,5,5,5,0,5,5,5,5,5,0,5,0,0,0,0,0,0
40,2021-02-01 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2021-02-01 19:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2021-02-01 19:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2021-02-01 19:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2021-02-01 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2021-02-01 20:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2021-02-01 20:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2021-02-01 20:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2021-02-02 09:00:00,0,0,5,0,0,5,0,0,0,0,10,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,1,0
49,2021-02-02 09:15:00,0,0,5,0,0,5,0,0,0,0,10,0,0,0,5,5,0,5,0,0,0,5,5,0,0,0,1,0
50,2021-02-02 09:30:00,0,0,10,10,0,5,0,0,0,0,10,0,5,0,5,5,0,5,0,0,0,5,5,0,0,0,1,0
51,2021-02-02 09:45:00,0,10,10,20,10,5,0,0,0,5,10,0,5,0,5,5,0,5,0,0,0,5,5,0,0,0,1,0
52,2021-02-02 10:00:00,0,15,5,20,20,5,30,10,0,5,10,5,5,5,5,5,0,5,5,5,0,5,5,0,0,0,1,0
53,2021-02-02 10:15:00,0,10,5,10,20,5,15,10,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,1,0
54,2021-02-02 10:30:00,0,5,15,10,25,5,10,10,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,1,0
55,2021-02-02 10:45:00,0,5,25,5,25,5,25,5,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,1,0
56,2021-02-02 11:00:00,0,5,20,5,25,10,5,10,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,1,0
57,2021-02-02 11:15:00,0,5,20,5,10,10,25,10,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,1,0
58,2021-02-02 11:30:00,0,5,15,5,5,10,10,10,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,1,0
59,2021-02-02 11:45:00,0,5,25,5,5,5,30,5,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,0,1,0
60,2021-02-02 12:00:00,0,5,20,5,5,5,15,5,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,5,1,0
61,2021-02-02 12:15:00,10,5,5,5,5,5,5,5,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
62,2021-02-02 12:30:00,10,5,5,5,5,5,20,5,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
63,2021-02-02 12:45:00,10,5,5,5,5,5,5,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
64,2021-02-02 13:00:00,10,5,5,5,5,5,20,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
65,2021-02-02 13:15:00,5,5,5,5,5,5,5,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
66,2021-02-02 13:30:00,5,5,5,5,5,5,25,5,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
67,2021-02-02 13:45:00,5,5,5,5,5,10,10,5,0,5,10,5,5,5,5,5,5,5,5,5,0,5,5,0,0,5,1,0
68,2021-02-02 14:00:00,5,5,5,5,15,10,30,5,0,5,10,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,1,0
69,2021-02-02 14:15:00,5,5,5,5,15,10,15,5,0,5,10,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,1,0
70,2021-02-02 14:30:00,5,5,5,5,15,10,10,5,0,0,10,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,1,0
71,2021-02-02 14:45:00,5,5,5,5,10,10,20,5,0,10,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
72,2021-02-02 15:00:00,5,5,5,5,20,10,5,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
73,2021-02-02 15:15:00,5,5,5,5,20,5,25,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
74,2021-02-02 15:30:00,5,5,5,5,20,5,10,10,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
75,2021-02-02 15:45:00,5,5,5,5,15,5,30,5,0,10,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
76,2021-02-02 16:00:00,5,5,5,5,10,5,10,10,0,15,15,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
77,2021-02-02 16:15:00,5,5,5,5,15,5,5,5,0,15,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
78,2021-02-02 16:30:00,5,5,5,5,20,5,15,5,0,20,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
79,2021-02-02 16:45:00,5,5,5,5,15,5,5,10,0,10,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,1,0
80,2021-02-02 17:00:00,5,5,5,5,15,5,20,5,0,15,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,0
81,2021-02-02 17:15:00,5,5,5,5,10,5,5,10,0,15,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,0
82,2021-02-02 17:30:00,5,5,5,5,10,5,25,15,0,10,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,0
83,2021-02-02 17:45:00,5,5,5,10,10,5,10,0,0,10,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,0
84,2021-02-02 18:00:00,5,5,5,10,5,5,30,0,0,20,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,0
85,2021-02-02 18:15:00,5,5,10,10,5,5,15,0,0,20,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,0
86,2021-02-02 18:30:00,5,5,10,10,5,5,0,0,0,20,10,5,5,5,5,5,5,5,5,5,0,5,0,0,0,0,1,0
87,2021-02-02 18:45:00,5,5,0,10,5,5,0,0,0,20,0,5,5,5,0,5,5,5,5,5,0,5,0,0,0,0,1,0
88,2021-02-02 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,2021-02-02 19:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,2021-02-02 19:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,2021-02-02 19:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,2021-02-02 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,2021-02-02 20:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,2021-02-02 20:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,2021-02-02 20:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,2021-02-03 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
97,2021-02-03 09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
98,2021-02-03 09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
99,2021-02-03 09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
100,2021-02-03 10:00:00,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0
101,2021-02-03 10:15:00,0,10,5,10,0,5,0,0,0,5,10,0,0,0,5,0,0,5,0,0,0,5,5,0,0,0,2,0
102,2021-02-03 10:30:00,0,20,15,15,0,5,0,0,0,10,10,0,5,0,5,0,0,5,0,0,0,5,5,0,0,0,2,0
103,2021-02-03 10:45:00,0,25,20,20,20,5,0,0,0,10,10,0,5,0,5,0,0,5,0,0,0,5,5,0,0,0,2,0
104,2021-02-03 11:00:00,0,20,15,25,35,15,0,10,0,10,10,0,5,0,5,5,0,5,5,5,0,5,5,0,0,0,2,0
105,2021-02-03 11:15:00,0,10,10,25,20,15,0,5,0,5,10,0,5,5,5,5,5,5,5,5,0,5,5,0,0,0,2,0
106,2021-02-03 11:30:00,0,10,10,15,25,15,15,10,0,5,10,0,5,5,5,5,5,5,5,5,0,5,5,0,0,0,2,0
107,2021-02-03 11:45:00,0,5,5,10,25,15,20,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,2,0
