,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,休日
0,2023-02-01 09:00:00,140,40,150,45,0,5,0,15,5,0,15,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,2,0
1,2023-02-01 09:15:00,160,75,140,60,0,10,0,20,5,0,15,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,2,0
2,2023-02-01 09:30:00,145,90,130,80,0,30,0,15,5,0,15,5,0,5,5,5,5,5,5,5,5,5,5,5,0,0,2,0
3,2023-02-01 09:45:00,140,90,110,90,0,45,0,15,5,0,15,10,0,5,5,10,5,5,5,5,5,5,5,5,0,0,2,0
4,2023-02-01 10:00:00,140,95,100,90,0,50,5,20,15,0,15,10,5,5,5,15,5,10,10,5,5,5,5,5,0,0,2,0
5,2023-02-01 10:15:00,130,90,140,95,0,55,15,15,20,0,20,15,5,5,5,10,10,15,10,5,5,5,5,5,0,0,2,0
6,2023-02-01 10:30:00,130,100,140,95,0,55,20,20,25,0,30,15,5,10,5,20,10,15,10,10,5,5,5,5,0,0,2,0
7,2023-02-01 10:45:00,130,110,170,95,0,55,25,20,30,0,30,20,5,10,5,20,10,15,10,15,5,5,5,5,0,0,2,0
8,2023-02-01 11:00:00,130,110,150,95,0,55,25,20,25,0,30,20,5,10,10,20,15,15,10,15,5,5,5,5,0,5,2,0
9,2023-02-01 11:15:00,130,105,140,95,0,65,15,30,25,0,30,20,5,10,10,25,15,15,15,15,5,5,0,0,0,5,2,0
10,2023-02-01 11:30:00,130,100,130,110,0,70,15,35,25,0,20,20,5,10,10,25,15,25,15,15,5,5,0,0,0,5,2,0
11,2023-02-01 11:45:00,140,95,130,110,0,65,25,30,20,0,15,20,5,15,10,25,15,25,20,15,5,5,0,0,0,5,2,0
12,2023-02-01 12:00:00,150,85,140,110,0,65,25,30,25,0,15,20,5,15,10,25,15,35,20,20,5,5,0,0,0,5,2,0
13,2023-02-01 12:15:00,150,85,140,110,0,60,25,15,25,0,20,20,5,15,10,25,15,35,20,15,5,5,0,0,5,5,2,0
14,2023-02-01 12:30:00,130,85,130,110,0,60,15,35,20,0,20,20,5,15,5,25,15,35,20,15,5,5,0,0,5,5,2,0
15,2023-02-01 12:45:00,130,100,150,100,0,65,20,20,25,0,15,20,5,15,5,25,15,35,20,15,5,5,0,0,0,5,2,0
16,2023-02-01 13:00:00,140,100,155,100,0,65,15,35,25,0,20,20,5,5,15,30,15,30,20,20,15,5,0,0,0,5,2,0
17,2023-02-01 13:15:00,140,110,155,105,0,65,15,20,15,0,20,20,5,5,10,30,15,30,20,15,5,5,0,0,0,5,2,0
18,2023-02-01 13:30:00,140,110,160,115,0,65,20,30,20,0,20,20,5,10,10,30,10,30,20,15,10,5,0,0,0,5,2,0
19,2023-02-01 13:45:00,135,105,160,120,0,65,25,30,20,0,20,20,5,10,10,35,15,25,20,20,10,10,0,0,0,5,2,0
20,2023-02-01 14:00:00,130,100,160,120,0,65,25,30,30,0,20,20,5,10,10,25,15,30,25,15,15,10,0,0,0,5,2,0
21,2023-02-01 14:15:00,130,100,160,110,0,65,30,45,30,0,20,30,5,5,5,25,15,30,25,15,20,10,0,0,0,5,2,0
22,2023-02-01 14:30:00,150,105,160,110,0,70,20,30,25,0,25,25,5,10,5,30,15,30,25,20,20,10,0,0,0,5,2,0
23,2023-02-01 14:45:00,150,105,160,100,0,70,15,35,25,0,25,20,5,15,5,30,15,30,20,20,20,15,0,0,0,5,2,0
24,2023-02-01 15:00:00,150,100,160,100,0,70,20,30,20,0,20,20,5,15,5,30,15,30,20,15,15,15,0,0,0,5,2,0
25,2023-02-01 15:15:00,150,90,160,100,0,70,20,35,20,0,20,20,5,15,5,25,15,30,20,15,15,15,0,0,0,5,2,0
26,2023-02-01 15:30:00,140,90,170,105,0,65,25,35,15,0,15,20,5,15,5,25,15,35,25,15,10,15,0,0,0,5,2,0
27,2023-02-01 15:45:00,140,90,180,110,0,65,15,20,20,0,15,20,5,15,5,30,15,25,25,15,10,20,0,0,0,5,2,0
28,2023-02-01 16:00:00,140,95,185,110,0,60,15,20,20,0,15,15,5,15,5,25,20,25,25,15,15,15,0,0,0,5,2,0
29,2023-02-01 16:15:00,140,95,185,115,0,60,15,30,20,0,15,15,5,15,5,25,15,30,25,15,20,15,0,0,0,5,2,0
30,2023-02-01 16:30:00,140,105,195,120,0,65,20,30,15,0,15,15,5,15,5,20,15,30,20,15,20,15,0,0,0,5,2,0
31,2023-02-01 16:45:00,140,105,200,110,0,65,40,30,15,0,15,15,5,15,5,20,15,30,25,15,20,15,0,0,0,5,2,0
32,2023-02-01 17:00:00,145,95,200,100,0,60,30,30,15,0,15,15,5,15,5,20,15,25,25,15,10,15,0,0,0,0,2,0
33,2023-02-01 17:15:00,145,95,200,100,0,60,35,35,10,0,15,10,5,15,5,25,10,30,25,10,10,10,0,0,0,0,2,0
34,2023-02-01 17:30:00,140,105,195,100,0,60,20,35,10,0,15,15,5,5,5,25,15,25,20,10,15,10,0,0,0,0,2,0
35,2023-02-01 17:45:00,130,100,190,100,0,60,20,30,10,0,15,15,5,10,5,25,15,25,20,10,20,10,0,0,0,0,2,0
36,2023-02-01 18:00:00,130,95,195,100,0,55,20,30,15,0,20,15,5,10,5,20,10,30,20,10,15,15,0,0,0,0,2,0
37,2023-02-01 18:15:00,130,90,0,90,0,55,20,35,20,0,20,10,5,10,5,20,10,25,20,10,5,15,0,0,0,0,2,0
38,2023-02-01 18:30:00,130,80,0,85,0,50,15,30,15,0,20,10,5,10,5,20,10,25,20,10,5,15,0,0,0,0,2,0
39,2023-02-01 18:45:00,130,75,0,85,0,50,20,15,15,0,20,5,5,10,5,20,10,25,15,10,5,15,0,20,20,0,2,0
40,2023-02-01 19:00:00,110,70,0,80,0,45,20,15,15,0,15,5,5,10,5,15,10,20,15,10,5,15,0,20,20,0,2,0
41,2023-02-01 19:15:00,100,60,0,75,0,45,20,20,15,0,15,5,5,10,5,10,10,20,15,5,5,5,0,20,20,0,2,0
42,2023-02-01 19:30:00,90,60,0,65,0,45,20,20,5,0,15,5,5,5,5,10,5,15,10,5,5,5,0,20,20,0,2,0
43,2023-02-01 19:45:00,0,50,0,60,0,35,25,15,5,0,15,5,5,5,5,10,5,10,5,5,5,5,0,20,20,0,2,0
44,2023-02-01 20:00:00,0,45,0,55,0,35,15,0,5,0,15,5,5,5,5,10,5,10,5,5,5,5,0,20,20,0,2,0
45,2023-02-01 20:15:00,0,0,0,0,0,35,15,0,5,0,15,5,5,5,5,10,5,10,5,5,5,5,0,20,20,0,2,0
46,2023-02-01 20:30:00,0,0,0,0,0,0,15,0,10,0,15,5,5,5,5,10,5,10,5,5,5,5,0,20,0,0,2,0
47,2023-02-01 20:45:00,0,0,0,0,0,0,0,0,10,0,15,0,5,0,5,20,5,0,5,5,5,5,0,0,0,0,2,0
48,2023-02-02 09:00:00,130,65,90,40,0,5,0,15,5,0,5,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,3,0
49,2023-02-02 09:15:00,150,80,160,60,0,5,0,20,5,0,15,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,3,0
50,2023-02-02 09:30:00,150,80,150,90,0,25,0,15,5,0,15,5,0,5,5,5,5,5,5,5,5,5,5,5,0,0,3,0
51,2023-02-02 09:45:00,150,100,150,100,0,45,0,15,15,0,15,5,0,5,5,5,5,5,5,5,5,5,5,5,0,0,3,0
52,2023-02-02 10:00:00,140,100,140,100,0,50,5,15,15,0,15,5,5,5,5,5,5,15,5,5,5,5,0,0,0,0,3,0
53,2023-02-02 10:15:00,160,90,140,90,0,50,15,20,30,0,15,5,5,5,5,15,5,15,5,10,5,5,0,0,0,0,3,0
54,2023-02-02 10:30:00,180,90,140,80,0,55,20,20,30,0,15,15,5,5,10,20,10,30,15,15,5,5,0,0,0,0,3,0
55,2023-02-02 10:45:00,160,100,140,70,0,60,25,20,25,0,15,15,5,5,5,20,10,30,15,15,5,5,0,0,0,0,3,0
56,2023-02-02 11:00:00,160,95,130,100,0,60,15,20,25,0,15,15,5,5,5,25,10,35,20,20,5,5,0,0,0,5,3,0
57,2023-02-02 11:15:00,165,90,130,105,0,60,15,30,25,0,15,15,5,5,5,25,10,25,20,20,5,5,0,0,0,5,3,0
58,2023-02-02 11:30:00,165,80,130,105,0,55,15,30,25,0,15,15,5,5,5,25,10,30,20,20,5,5,0,0,0,5,3,0
59,2023-02-02 11:45:00,140,80,120,105,0,55,15,30,25,0,15,15,5,5,5,20,10,30,20,20,5,5,0,0,0,5,3,0
60,2023-02-02 12:00:00,130,80,90,105,0,55,20,30,25,0,15,15,5,5,5,25,10,30,20,20,5,5,5,5,0,5,3,0
61,2023-02-02 12:15:00,130,80,90,105,0,50,20,20,25,0,15,15,5,5,5,30,10,30,20,15,5,5,5,5,5,5,3,0
62,2023-02-02 12:30:00,130,100,100,105,0,50,25,20,25,0,15,15,5,5,5,20,10,30,20,15,5,5,5,5,5,5,3,0
63,2023-02-02 12:45:00,130,100,130,105,0,60,25,30,20,0,15,15,5,10,5,20,10,30,20,10,15,5,5,5,5,5,3,0
64,2023-02-02 13:00:00,140,90,140,105,0,60,15,30,20,0,15,15,5,10,5,20,10,30,20,10,15,10,5,5,5,5,3,0
65,2023-02-02 13:15:00,140,100,130,100,0,60,15,20,20,0,15,15,5,10,5,20,15,30,20,10,15,5,5,5,5,5,3,0
66,2023-02-02 13:30:00,135,130,130,85,0,60,20,30,20,0,15,15,5,10,5,20,15,30,20,15,5,5,5,5,5,5,3,0
67,2023-02-02 13:45:00,135,120,130,90,0,65,20,30,20,0,15,15,5,10,5,25,10,30,20,20,5,5,5,5,5,5,3,0
68,2023-02-02 14:00:00,130,110,120,95,0,65,25,15,35,0,15,15,5,10,5,25,15,30,25,15,5,5,5,5,5,5,3,0
69,2023-02-02 14:15:00,135,90,120,90,0,60,15,30,30,0,15,25,5,15,5,25,15,30,25,20,10,5,5,5,5,5,3,0
70,2023-02-02 14:30:00,140,85,110,110,0,65,15,30,25,0,15,25,5,15,5,25,15,35,30,20,20,5,5,5,5,5,3,0
71,2023-02-02 14:45:00,145,95,110,115,0,65,15,35,25,0,20,25,5,15,5,25,15,30,25,15,10,5,0,0,0,5,3,0
72,2023-02-02 15:00:00,150,100,125,130,0,65,20,20,20,0,15,25,5,20,5,30,15,30,20,10,5,20,0,0,0,5,3,0
73,2023-02-02 15:15:00,140,90,120,110,0,70,25,20,20,0,15,20,5,15,5,30,15,25,20,15,5,20,0,0,0,5,3,0
74,2023-02-02 15:30:00,150,95,130,90,0,70,15,30,20,0,15,20,5,10,5,25,15,30,15,10,10,15,5,5,5,5,3,0
75,2023-02-02 15:45:00,150,95,130,90,0,65,15,30,20,0,15,15,5,10,5,25,15,35,20,10,10,10,5,5,5,5,3,0
76,2023-02-02 16:00:00,150,95,135,95,0,60,15,40,20,0,15,10,5,10,5,30,15,25,20,10,10,10,5,5,5,5,3,0
77,2023-02-02 16:15:00,150,95,145,115,0,55,20,35,20,0,15,10,5,10,5,30,15,25,25,15,10,10,5,5,5,5,3,0
78,2023-02-02 16:30:00,150,95,135,115,0,55,20,35,20,0,15,20,5,10,5,25,15,30,20,15,15,15,5,5,5,5,3,0
79,2023-02-02 16:45:00,150,95,135,115,0,60,40,35,15,0,15,20,5,15,5,25,15,25,20,15,5,10,5,5,5,5,3,0
80,2023-02-02 17:00:00,145,95,135,100,0,60,25,20,15,0,15,20,5,15,5,25,15,30,20,10,5,10,5,5,5,0,3,0
81,2023-02-02 17:15:00,145,95,130,80,0,55,30,20,15,0,15,20,5,10,5,20,15,30,20,10,5,5,5,5,5,0,3,0
82,2023-02-02 17:30:00,135,100,140,80,0,60,15,20,10,0,15,10,5,10,5,15,10,25,15,10,10,10,5,5,5,0,3,0
83,2023-02-02 17:45:00,130,95,140,90,0,60,20,30,15,0,15,10,5,5,5,20,10,20,15,5,10,10,5,5,5,0,3,0
84,2023-02-02 18:00:00,120,95,140,90,0,55,20,30,10,0,15,5,5,5,5,20,10,20,15,5,10,10,0,0,0,0,3,0
85,2023-02-02 18:15:00,120,85,125,85,0,50,25,30,10,0,15,5,5,5,5,20,10,20,15,10,10,10,0,20,20,0,3,0
86,2023-02-02 18:30:00,120,70,125,80,0,50,15,15,10,0,15,5,5,10,5,15,10,20,10,10,5,10,0,20,20,0,3,0
87,2023-02-02 18:45:00,120,60,125,70,0,50,15,20,5,0,15,5,5,10,5,15,5,20,10,10,5,15,0,20,20,0,3,0
88,2023-02-02 19:00:00,110,55,140,70,0,30,15,15,5,0,15,5,5,5,5,10,5,20,10,5,5,10,0,20,20,0,3,0
89,2023-02-02 19:15:00,110,50,0,60,0,30,15,20,5,0,15,5,5,5,5,10,5,20,10,5,5,5,0,20,20,0,3,0
90,2023-02-02 19:30:00,0,50,0,50,0,35,20,15,5,0,15,5,5,5,5,10,5,20,10,5,5,5,0,20,20,0,3,0
91,2023-02-02 19:45:00,0,40,0,50,0,35,20,25,5,0,15,5,5,5,5,10,5,20,5,5,5,5,0,20,15,0,3,0
92,2023-02-02 20:00:00,0,40,0,45,0,35,25,0,5,0,15,5,5,5,5,5,5,5,5,5,5,5,0,15,15,0,3,0
93,2023-02-02 20:15:00,0,40,0,0,0,25,25,0,5,0,15,5,5,5,5,5,5,5,5,5,5,5,0,15,15,0,3,0
94,2023-02-02 20:30:00,0,0,0,0,0,0,20,0,10,0,15,10,5,5,5,10,5,5,5,5,5,5,0,15,0,0,3,0
95,2023-02-02 20:45:00,0,0,0,0,0,0,0,0,5,0,15,10,5,5,5,10,5,10,5,5,5,5,0,15,0,0,3,0
96,2023-02-03 09:00:00,120,70,5,45,0,5,0,5,5,0,5,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,4,0
97,2023-02-03 09:15:00,120,80,80,50,0,5,0,5,5,0,5,5,0,0,5,5,5,5,0,0,5,5,5,5,0,0,4,0
98,2023-02-03 09:30:00,130,90,85,60,0,15,0,15,5,0,15,5,0,5,5,5,5,5,5,5,5,5,5,5,0,0,4,0
99,2023-02-03 09:45:00,140,90,85,70,0,30,0,15,5,0,15,5,0,5,5,5,5,5,5,10,5,5,5,5,0,0,4,0
100,2023-02-03 10:00:00,160,110,85,70,0,35,5,20,10,0,15,5,5,5,5,5,5,10,5,10,5,5,5,5,0,0,4,0
101,2023-02-03 10:15:00,160,120,90,70,0,40,15,20,15,0,15,5,5,5,5,5,5,15,5,5,5,5,5,5,0,0,4,0
