,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2023-10-01 09:00:00,125,105,55,25,5,5,0,15,5,10,15,5,0,0,5,0,5,5,0,0,5,5,5,5,0,0,6,Sunday
1,2023-10-01 09:15:00,135,115,60,60,10,10,0,20,5,20,15,5,0,0,5,0,5,5,0,0,5,5,5,5,0,0,6,Sunday
2,2023-10-01 09:30:00,150,125,80,70,30,35,0,15,15,35,20,10,0,5,5,0,5,5,5,5,5,5,5,5,0,0,6,Sunday
3,2023-10-01 09:45:00,145,135,80,75,45,50,0,20,10,35,40,15,0,5,5,0,10,10,10,10,10,5,5,5,0,0,6,Sunday
4,2023-10-01 10:00:00,140,125,85,75,55,50,15,35,15,35,40,25,5,10,5,0,15,10,5,10,15,5,5,5,0,0,6,Sunday
5,2023-10-01 10:15:00,140,110,85,70,60,45,15,45,25,30,50,25,5,10,5,0,10,15,5,15,15,5,5,5,0,0,6,Sunday
6,2023-10-01 10:30:00,110,100,75,60,50,50,20,45,30,25,40,25,5,10,5,0,10,20,15,15,15,5,5,5,0,0,6,Sunday
7,2023-10-01 10:45:00,100,90,75,60,45,50,25,20,35,20,30,20,5,10,5,0,10,20,15,10,15,5,5,5,0,0,6,Sunday
8,2023-10-01 11:00:00,80,85,70,55,45,45,25,20,35,15,50,20,5,10,5,0,10,20,25,10,15,5,5,5,0,5,6,Sunday
9,2023-10-01 11:15:00,85,80,60,60,45,45,35,25,40,15,50,15,5,10,5,0,10,20,20,10,5,5,5,5,0,5,6,Sunday
10,2023-10-01 11:30:00,95,80,50,60,40,35,30,30,35,0,40,20,5,10,5,0,10,20,20,10,5,5,0,0,0,5,6,Sunday
11,2023-10-01 11:45:00,95,70,50,60,40,35,20,30,30,0,30,15,5,10,5,0,10,20,20,10,5,5,0,0,0,5,6,Sunday
12,2023-10-01 12:00:00,105,60,45,55,40,35,20,30,20,0,30,15,5,15,5,0,10,20,15,10,10,10,0,0,0,5,6,Sunday
13,2023-10-01 12:15:00,100,60,45,55,50,35,25,30,20,0,40,15,5,10,5,0,10,20,15,10,15,15,0,0,5,5,6,Sunday
14,2023-10-01 12:30:00,85,80,45,50,60,45,25,35,25,5,30,15,5,10,5,0,5,25,15,15,15,15,5,5,5,5,6,Sunday
15,2023-10-01 12:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Sunday
16,2023-10-01 13:00:00,90,75,65,45,60,50,20,35,25,0,50,15,5,10,5,0,10,25,20,0,5,15,0,0,0,5,6,Sunday
17,2023-10-01 13:15:00,90,85,65,50,40,45,20,30,25,0,40,15,5,10,5,0,10,25,20,0,15,10,0,0,0,5,6,Sunday
18,2023-10-01 13:30:00,95,65,60,60,30,40,20,20,20,10,40,15,5,10,5,0,10,25,20,10,25,15,10,5,5,15,6,Sunday
19,2023-10-01 13:45:00,90,80,60,55,40,35,20,20,25,5,40,15,5,5,5,0,10,25,20,15,20,15,5,5,5,15,6,Sunday
20,2023-10-01 14:00:00,0,85,65,50,50,45,25,30,25,5,40,15,5,5,5,0,15,30,15,15,20,15,5,5,5,15,6,Sunday
21,2023-10-01 14:15:00,0,80,60,45,55,45,30,45,25,5,40,15,5,10,5,0,15,30,20,15,15,10,5,5,5,15,6,Sunday
22,2023-10-01 14:30:00,0,75,65,50,40,45,20,45,25,0,40,20,5,15,5,0,15,20,20,10,15,10,0,0,0,15,6,Sunday
23,2023-10-01 14:45:00,0,75,65,50,45,45,15,35,25,0,30,20,5,15,5,0,15,20,20,10,15,15,0,0,0,15,6,Sunday
24,2023-10-01 15:00:00,0,65,60,55,40,50,20,35,15,0,40,15,5,15,5,0,15,20,25,10,20,20,0,0,0,15,6,Sunday
25,2023-10-01 15:15:00,0,65,65,55,25,45,20,35,15,15,50,15,5,15,5,0,15,30,15,15,15,15,5,5,5,5,6,Sunday
26,2023-10-01 15:30:00,40,85,70,55,45,45,25,35,20,0,60,20,5,15,5,0,15,30,20,15,15,15,0,0,0,5,6,Sunday
27,2023-10-01 15:45:00,70,95,120,60,55,45,15,35,15,0,50,25,5,10,5,0,10,25,20,15,10,15,0,0,0,10,6,Sunday
28,2023-10-01 16:00:00,85,105,110,55,60,45,30,45,0,0,50,25,5,15,5,0,15,25,25,15,10,15,0,0,0,10,6,Sunday
29,2023-10-01 16:15:00,85,80,100,50,55,45,20,45,0,0,50,25,5,15,5,0,20,30,20,15,10,15,0,0,0,5,6,Sunday
30,2023-10-01 16:30:00,110,80,60,55,50,50,35,45,0,25,50,20,5,15,5,0,15,30,15,15,15,15,10,5,5,5,6,Sunday
31,2023-10-01 16:45:00,110,80,50,50,45,50,20,45,0,25,50,20,5,20,5,0,20,30,20,15,10,15,15,10,5,5,6,Sunday
32,2023-10-01 17:00:00,130,80,55,50,45,55,25,55,0,30,40,15,5,20,5,0,15,20,20,0,15,15,5,15,5,0,6,Sunday
33,2023-10-01 17:15:00,130,80,70,50,40,65,30,30,0,35,50,15,5,15,5,0,15,20,20,0,15,10,5,15,10,0,6,Sunday
34,2023-10-01 17:30:00,110,95,65,40,45,65,30,15,0,0,50,15,5,15,5,0,15,20,20,0,10,10,5,0,15,0,6,Sunday
35,2023-10-01 17:45:00,100,90,65,40,50,60,15,20,5,0,40,15,5,15,5,0,15,20,15,0,5,15,0,0,0,0,6,Sunday
36,2023-10-01 18:00:00,85,85,65,50,50,45,20,35,10,0,30,20,5,20,5,0,15,20,15,0,5,15,0,0,0,0,6,Sunday
37,2023-10-01 18:15:00,85,55,55,50,35,35,15,20,10,0,40,15,5,20,5,0,15,15,15,0,5,15,0,20,20,0,6,Sunday
38,2023-10-01 18:30:00,90,55,60,40,25,35,25,30,15,0,40,15,5,20,5,0,10,15,15,0,5,10,0,20,20,0,6,Sunday
39,2023-10-01 18:45:00,85,55,55,30,25,35,15,30,15,0,30,15,5,15,5,0,10,10,5,10,5,15,0,20,20,0,6,Sunday
